Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Adjusted_Cost,Profit,Profit_Percentage
53,11,Rural,Regular,2,3.5,Afternoon,Premium,81,297.0186264188845,449.34647348783017,152.3278470689457,51.285621008198376
79,64,Rural,Regular,91,4.57,Night,Economy,164,666.6870291344428,651.2054048989671,-15.481624235475692,-2.322172707570961
59,23,Urban,Gold,41,4.97,Evening,Premium,91,449.5456339145253,523.2895767194232,73.74394280489787,16.40410611104261
40,29,Urban,Regular,72,4.3,Afternoon,Economy,147,624.9860100296204,638.739464396195,13.753454366574601,2.200601956821845
76,40,Suburban,Silver,77,4.17,Morning,Economy,28,96.03520851587072,89.10517262312062,-6.930035892750098,-7.216140829854964
41,26,Urban,Regular,96,3.91,Night,Economy,169,637.7593915947267,687.2018983569737,49.442506762247035,7.752532916624768
83,14,Urban,Regular,80,4.77,Night,Premium,64,295.5887110300315,427.8392975555894,132.25058652555788,44.74141994960063
44,17,Rural,Regular,15,4.0,Evening,Economy,98,353.33854512223814,456.5014571844779,103.16291206223974,29.19661992340811
91,73,Urban,Gold,61,4.39,Night,Economy,15,62.25429041832141,62.24722251326196,-0.007067905059450652,-0.011353281857294402
54,16,Suburban,Regular,8,4.5,Afternoon,Premium,67,266.0685899337195,355.9668385017902,89.8982485680707,33.787621676976336
59,37,Rural,Silver,86,4.67,Night,Premium,95,340.1282671016029,314.3689082179397,-25.759358883663197,-7.5734249032493315
72,43,Suburban,Gold,28,4.87,Afternoon,Economy,132,443.258155352454,412.8937448448467,-30.364410507607317,-6.850276783619072
47,9,Rural,Gold,49,4.44,Evening,Economy,96,265.05527443495566,421.27330589438606,156.2180314594304,58.937907118602226
32,22,Rural,Silver,49,4.65,Night,Economy,60,221.4343854791753,253.80295790428974,32.36857242511445,14.61768114968691
45,13,Rural,Regular,96,4.84,Night,Economy,112,393.2308288248255,558.9946943898203,165.76386556499483,42.154341270846416
72,45,Urban,Silver,82,4.42,Night,Premium,40,151.58040412487964,141.90220672097374,-9.678197403905898,-6.384860536413736
56,15,Urban,Gold,34,4.72,Night,Premium,78,313.9950046053331,430.95599754604257,116.96099294070945,37.24931646212657
42,22,Rural,Silver,67,3.81,Afternoon,Premium,82,366.1515260551269,425.45421062042243,59.30268456529552,16.196213956613974
52,14,Suburban,Silver,87,3.54,Afternoon,Premium,98,425.97356882411634,595.9308828030404,169.95731397892405,39.89855860026355
81,23,Urban,Gold,39,4.3,Evening,Economy,143,359.0531279855558,427.9849837384261,68.93185575287026,19.198232902079965
77,25,Rural,Regular,70,4.27,Afternoon,Premium,52,260.34417984860374,297.8270009053899,37.48282105678618,14.397410796194224
27,6,Urban,Gold,2,4.42,Night,Economy,86,320.30170917475425,545.4417124188035,225.14000324404924,70.28997872790448
74,34,Rural,Regular,18,4.66,Morning,Premium,140,454.49212153190336,446.51329600138837,-7.978825530514996,-1.7555475997299366
92,69,Urban,Silver,88,4.69,Afternoon,Economy,18,45.11502370436019,44.93343158574886,-0.18159211861132718,-0.4025091947225931
77,34,Rural,Gold,33,4.13,Night,Premium,48,223.6621142931812,220.4219809670405,-3.2401333261406933,-1.448673297388871
66,6,Rural,Regular,23,4.2,Evening,Economy,45,173.1577542620492,309.9376851524062,136.77993089035698,78.99151353242914
77,39,Urban,Regular,23,4.29,Morning,Economy,167,592.240499627505,548.4753292577068,-43.76517036979817,-7.38976317852708
35,16,Urban,Regular,31,4.75,Afternoon,Premium,113,379.3078104185831,495.1771154503831,115.86930503180002,30.54756634300071
48,38,Rural,Gold,40,3.7,Evening,Premium,80,360.7111703191874,324.3135267100677,-36.397643609119655,-10.090523001245561
61,18,Rural,Gold,84,3.93,Evening,Premium,58,203.49261837786293,262.5988688569287,59.10625047906575,29.045894121482128
71,21,Suburban,Silver,82,4.88,Afternoon,Premium,126,553.5451307734787,678.8470815296239,125.30195075614517,22.63626645600847
95,7,Rural,Gold,40,4.68,Evening,Economy,95,283.46644254307614,505.04051820055736,221.57407565748122,78.1658928195038
76,44,Suburban,Gold,20,3.56,Afternoon,Premium,105,435.14534513079855,408.07393700069576,-27.071408130102782,-6.221233533353207
32,13,Suburban,Regular,21,4.64,Afternoon,Economy,156,685.7681264991488,957.8683623741862,272.10023587503736,39.678168955461814
49,30,Rural,Silver,57,4.83,Evening,Economy,154,630.8608868741742,641.577769994456,10.716883120281864,1.6987712098276522
38,17,Urban,Silver,92,4.41,Afternoon,Premium,138,546.1568747653598,700.0331200263414,153.8762452609816,28.17436754359084
92,35,Suburban,Regular,46,4.72,Morning,Economy,45,115.35700254441711,113.65040494204149,-1.7065976023756235,-1.47940529376924
40,29,Suburban,Silver,26,4.26,Night,Economy,152,404.0498951423794,412.9414250414192,8.891529899039824,2.2006019568218473
55,42,Suburban,Silver,24,4.49,Afternoon,Economy,45,156.03832988580584,142.22378508664792,-13.814544799157915,-8.853302140101004
58,34,Rural,Gold,19,4.55,Morning,Premium,131,501.26295506529306,483.82594201634805,-17.437013048945005,-3.478615938549401
34,5,Urban,Regular,26,4.85,Evening,Premium,152,562.4369764527329,1003.1583713087988,440.7213948560659,78.35924971286165
70,47,Suburban,Silver,3,3.66,Morning,Premium,53,216.8024750869831,203.4750379460423,-13.327437140940788,-6.147271674640107
51,24,Rural,Gold,25,4.68,Afternoon,Premium,16,120.09069016935676,135.8949154604647,15.804225291107926,13.160241871222627
88,56,Rural,Regular,11,4.36,Afternoon,Economy,60,221.1576532597614,215.22014872097688,-5.937504538784509,-2.6847384439418858
25,8,Suburban,Silver,83,3.53,Evening,Economy,121,492.7012709061221,783.0961220658664,290.39485115974435,58.939334705932865
34,19,Rural,Regular,51,4.2,Night,Premium,166,754.2344800100251,920.923944231453,166.6894642214279,22.100483157334878
40,15,Urban,Regular,90,3.62,Night,Premium,42,211.52772882563164,284.5458135545901,73.01808472895846,34.5193914454352
26,7,Suburban,Gold,58,4.91,Afternoon,Economy,161,460.75927538572495,757.3136180051596,296.55434261943464,64.36209935680057
81,42,Suburban,Regular,88,4.14,Afternoon,Economy,47,164.10747354764283,153.8904808700954,-10.216992677547438,-6.225793656241557
80,56,Suburban,Gold,63,4.57,Night,Premium,43,213.6962129956236,206.32262248335397,-7.3735905122696295,-3.450501255453056
64,19,Rural,Gold,86,4.68,Night,Premium,171,732.9893961300692,929.1837500108217,196.1943538807525,26.766329078782164
45,18,Rural,Gold,68,4.07,Morning,Economy,136,350.6012026111729,443.760552137283,93.15934952611013,26.571314882061774
84,49,Urban,Regular,32,4.25,Night,Premium,53,192.8798062051633,184.4622028166175,-8.417603388545814,-4.364170388885676
34,16,Urban,Silver,47,4.12,Evening,Economy,93,294.11580585015537,383.4255389432946,89.30973309313924,30.365499343017394
67,32,Suburban,Regular,40,4.47,Afternoon,Premium,13,82.52418774801069,83.00029308154652,0.47610533353582696,0.5769282273818004
93,23,Suburban,Silver,34,4.23,Evening,Premium,125,386.169069413996,465.69882889151484,79.52975947751884,20.594544145703768
100,51,Urban,Silver,56,3.58,Night,Economy,89,310.9003272621974,303.1056107301239,-7.794716532073494,-2.50714323806415
35,22,Suburban,Gold,15,4.23,Morning,Premium,120,373.96284065200393,430.4411634688539,56.47832281684998,15.102656381147405
36,13,Rural,Silver,31,4.71,Night,Economy,71,221.5511001313172,311.1983307312878,89.64723059997058,40.46345540457037
28,18,Suburban,Regular,100,3.7,Afternoon,Economy,127,531.1127009643968,656.7060411809874,125.5933402165906,23.647210844052054
21,9,Urban,Gold,10,3.88,Morning,Premium,108,324.9426389036563,497.9046595238404,172.9620206201841,53.22847786420125
26,15,Urban,Regular,35,5.0,Morning,Premium,161,493.4068923175674,650.7091249567512,157.30223263918384,31.88083407192065
97,21,Suburban,Regular,59,3.87,Evening,Premium,174,778.6333560141928,979.766052650276,201.1326966360832,25.831502732643912
26,15,Urban,Silver,10,3.71,Morning,Premium,171,720.1572085631501,949.7493332821434,229.59212471899332,31.88083407192064
91,56,Urban,Gold,17,4.66,Night,Economy,10,38.23523523879646,37.31561579032497,-0.9196194484714937,-2.4051622612704
65,48,Rural,Silver,12,4.37,Afternoon,Premium,140,573.5891064527985,536.5873005503036,-37.00180590249499,-6.450925494614484
88,28,Urban,Gold,22,4.99,Night,Premium,154,682.016246966075,748.3567993091115,66.3405523430365,9.727121991323534
82,13,Suburban,Gold,32,3.58,Night,Economy,148,516.4367273015673,765.4618412369368,249.02511393536952,48.219869108951684
65,40,Urban,Silver,48,3.59,Evening,Economy,121,492.5196024192815,451.6148456801755,-40.904756739106006,-8.305203800656816
41,6,Urban,Silver,56,4.32,Night,Economy,11,49.234784001519046,85.50509528096086,36.27031127944181,73.66806215362448
85,36,Rural,Silver,64,4.32,Evening,Economy,152,506.6928860981053,488.54570476037827,-18.147181337727034,-3.5814951888259583
35,13,Rural,Silver,80,3.8,Afternoon,Economy,93,304.3133394836575,426.857829558025,122.5444900743675,40.26918119405952
83,29,Urban,Silver,78,4.42,Afternoon,Premium,23,111.179341237614,119.37063460042373,8.19129336280973,7.367639771585971
91,31,Urban,Regular,12,4.39,Night,Economy,39,163.21458328772866,170.91897878180703,7.704395494078369,4.720408764268571
44,28,Rural,Regular,31,4.92,Night,Premium,132,402.856989480614,420.92173286218434,18.064743381570338,4.484157865762842
96,12,Suburban,Gold,15,4.97,Night,Economy,90,289.2351908680133,445.7900268666616,156.5548359986483,54.12717433477483
77,46,Suburban,Regular,97,4.2,Afternoon,Premium,25,150.53929481479082,142.0033243733583,-8.53597044143251,-5.670260679734387
91,80,Rural,Gold,74,4.74,Night,Economy,46,194.93555934032696,196.3965151577993,1.4609558174723531,0.7494557803698365
93,42,Rural,Silver,75,4.66,Morning,Economy,160,674.6485035775572,640.057221195906,-34.59128238165124,-5.127304396025336
41,9,Rural,Silver,73,3.51,Morning,Economy,150,551.5572340398235,869.8577621705338,318.3005281307103,57.709428593538924
61,44,Suburban,Regular,69,4.54,Afternoon,Economy,52,132.2147645898824,121.98275220127287,-10.232012388609533,-7.738933257831121
83,10,Urban,Gold,28,3.91,Afternoon,Economy,23,70.11182411078714,112.69278301906768,42.580958908280536,60.73292122737567
59,22,Rural,Regular,79,4.38,Morning,Premium,93,346.2847096470098,410.89049068661683,64.60578103960705,18.656839080611984
42,31,Suburban,Gold,62,4.95,Night,Premium,13,102.04473025177862,101.20002466861064,-0.8447055831679791,-0.827779720798719
81,16,Suburban,Regular,73,4.89,Night,Economy,125,494.1401793052489,680.969865710996,186.8296864057471,37.80904573848374
72,19,Rural,Gold,89,4.74,Morning,Premium,45,183.658314681842,234.85722047883095,51.19890579698895,27.87725994637525
43,9,Rural,Silver,2,4.12,Morning,Economy,126,436.5576476487414,690.3034058096104,253.74575816086895,58.124227012748456
74,33,Urban,Silver,82,4.13,Afternoon,Economy,10,31.362081322241885,31.28813898098152,-0.07394234126036636,-0.2357698792392541
68,45,Rural,Silver,65,4.19,Evening,Economy,112,323.4791093139413,301.5243300499837,-21.95477926395762,-6.787077938516944
36,13,Urban,Silver,84,4.88,Evening,Premium,140,505.3840569466695,709.8799094510937,204.4958525044242,40.46345540457038
51,5,Urban,Gold,0,4.59,Afternoon,Premium,92,320.8576215627125,585.1680024965658,264.3103809338533,82.3762202208412
63,23,Urban,Silver,48,4.09,Evening,Economy,49,214.5660524456202,250.9079404312486,36.341887985628404,16.937389475830024
96,29,Urban,Regular,84,3.65,Night,Economy,176,758.5015334295354,824.5767701610246,66.07523673148921,8.711285847074373
94,59,Suburban,Regular,84,4.38,Morning,Premium,175,665.7295341217325,654.8453802888655,-10.884153832867014,-1.6349212818424823
74,32,Suburban,Regular,2,4.7,Evening,Premium,38,171.06636292972274,173.35057644637914,2.2842135166563935,1.3352791732614266
91,13,Rural,Silver,32,3.6,Morning,Premium,160,647.3526381087524,967.9459509669957,320.5933128582433,49.52375165950664
69,12,Suburban,Regular,42,4.34,Afternoon,Premium,158,608.1282399929386,912.3642720500252,304.2360320570866,50.028269047433035
51,20,Rural,Silver,57,3.68,Night,Economy,67,246.92292493661097,301.98223804790587,55.0593131112949,22.298177913383093
45,17,Rural,Gold,10,4.93,Night,Premium,148,430.0665305032927,556.3475408095774,126.28101030628466,29.363133689688
92,34,Suburban,Regular,98,3.99,Night,Economy,140,396.6387527092545,396.7113677246629,0.07261501540841664,0.01830759473511282
69,36,Suburban,Gold,55,4.74,Morning,Economy,109,436.0114486061054,413.5193258341486,-22.49212277195676,-5.158608298901857
56,14,Suburban,Silver,30,3.67,Night,Economy,48,202.9454568505992,285.2840598523169,82.3386030017177,40.5717892282419
43,26,Rural,Regular,59,4.91,Afternoon,Economy,175,731.7816872483901,790.5872065233636,58.80551927497356,8.035937534333664
86,48,Urban,Silver,37,4.15,Night,Economy,84,216.05054809363543,206.58043651649436,-9.470111577141068,-4.383285143547408
61,34,Urban,Gold,82,3.99,Night,Premium,10,83.86835620425342,81.2317643315715,-2.636591872681919,-3.143726659266756
50,36,Suburban,Gold,18,4.61,Night,Economy,145,572.2420492964254,530.9304257547982,-41.31162354162723,-7.2192568848130065
73,34,Urban,Regular,95,4.31,Morning,Premium,21,118.8070474355678,116.59853177394687,-2.208515661620922,-1.8589096432336292
76,7,Urban,Gold,76,4.35,Morning,Economy,72,245.8935711917164,430.01938887540285,184.12581768368645,74.88028938346201
87,41,Urban,Regular,87,4.36,Night,Economy,87,387.1117403297744,364.17999837092265,-22.931741958851774,-5.923804310175812
53,33,Rural,Regular,40,3.8,Morning,Premium,139,507.9505746530285,494.9181038265017,-13.032470826526833,-2.565696639959324
71,8,Suburban,Silver,57,3.68,Night,Economy,75,249.302974601016,420.0175628760561,170.71458827504011,68.47675546120195
32,5,Rural,Gold,80,3.55,Night,Economy,14,45.91711193197189,81.66624364770426,35.749131715732375,77.85579321429492
91,30,Suburban,Gold,34,3.69,Afternoon,Economy,96,424.6120578300381,451.9212259358098,27.309168105771676,6.431557371529678
47,37,Suburban,Gold,64,3.75,Morning,Economy,31,85.97357530080251,78.31740010256101,-7.656175198241499,-8.905265567302786
23,13,Rural,Silver,42,4.55,Night,Economy,87,328.9669925908357,453.4026168816882,124.4356242908525,37.82617317039577
57,20,Rural,Regular,92,3.74,Morning,Economy,53,172.62943414987132,212.64858729488552,40.0191531450142,23.182114534576336
48,17,Suburban,Silver,2,4.09,Evening,Economy,85,261.9435328532634,340.1503437606252,78.20681090736184,29.856362573826956
22,5,Urban,Gold,39,4.92,Evening,Economy,56,199.0416803252397,348.77196512925,149.73028480401032,75.22559323220484
60,19,Urban,Silver,37,4.22,Evening,Economy,68,232.2834549147445,293.123463965713,60.84000905096846,26.192140578113367
94,42,Rural,Regular,0,4.23,Morning,Premium,36,185.311838106628,175.9747660999218,-9.337072006706194,-5.038572873759779
43,6,Suburban,Silver,34,4.4,Morning,Premium,24,153.76143970087224,267.7368517400506,113.97541203917837,74.12483406822044
97,18,Suburban,Regular,53,4.25,Night,Premium,26,126.4771352873347,169.32720855257483,42.85007326524013,33.879699415939484
47,17,Rural,Silver,7,4.8,Morning,Economy,173,609.5038276051239,790.483740529064,180.9799129239401,29.692990384498557
39,28,Urban,Silver,72,3.76,Afternoon,Premium,87,287.1624375675698,298.06749485905425,10.905057291484468,3.797522191222691
50,39,Suburban,Regular,94,3.81,Evening,Premium,139,406.32480651562713,365.02505146860045,-41.29975504702668,-10.164221919204508
35,17,Urban,Regular,78,4.4,Evening,Premium,61,249.03711265544783,317.8899034850345,68.85279082958667,27.647602437812985
28,8,Suburban,Regular,69,3.86,Evening,Premium,175,620.9016915662245,991.294945382402,370.39325381617755,59.65408998675146
51,32,Rural,Regular,98,4.44,Morning,Premium,51,267.0607016773296,263.66353732829964,-3.3971643490299357,-1.2720569996608815
54,12,Suburban,Silver,84,4.98,Evening,Premium,172,715.7547930992089,1055.6321820836404,339.8773889844315,47.485171215237955
65,10,Urban,Regular,77,4.36,Afternoon,Economy,170,430.385487919734,678.8139151618499,248.4284272421159,57.72230575033871
61,26,Rural,Gold,21,3.85,Morning,Premium,126,604.273047008686,667.3189619484202,63.04591493973419,10.43334883987105
46,9,Suburban,Silver,67,4.22,Evening,Premium,47,243.5250631593867,386.5629916877291,143.0379285283424,58.73643011221574
73,50,Urban,Regular,7,4.22,Night,Economy,45,176.2144067384048,166.99241193781458,-9.22199480059021,-5.233394346854125
86,49,Urban,Regular,99,3.51,Night,Economy,130,471.4796320940979,451.78947539434176,-19.69015669975613,-4.176247574534963
75,7,Suburban,Gold,100,4.13,Morning,Economy,134,453.3769493913552,792.0431297793914,338.6661803880362,74.6985881930445
39,29,Suburban,Silver,12,4.24,Evening,Economy,97,251.1073064574406,256.2896090169027,5.18230255946213,2.063780075766319
33,6,Rural,Gold,90,4.81,Night,Premium,139,521.8019208244536,896.3431416135187,374.54122078906505,71.77842890982178
40,29,Suburban,Silver,6,4.94,Night,Premium,71,346.4926515319707,354.1175756018271,7.624924069856434,2.200601956821842
54,35,Suburban,Silver,66,4.4,Night,Economy,77,234.0714535105622,221.495097826571,-12.57635568399121,-5.372870333128305
53,26,Urban,Gold,54,4.6,Night,Premium,52,184.0244513007148,201.32285648759776,17.298405186882974,9.400058016538036
81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,554.8869659163038,549.0785260809172,-5.808439835386594,-1.0467789283525373
45,20,Urban,Regular,80,4.73,Morning,Economy,63,192.61977241404605,233.80416918755492,41.184396773508865,21.38118857548066
20,9,Urban,Silver,77,3.91,Evening,Economy,89,227.796524806166,348.4979227429157,120.70139793674971,52.98649662871529
47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,416.601648993299,487.2032461450496,70.60159715175058,16.94702777157903
33,18,Urban,Gold,90,3.61,Evening,Premium,146,671.7128294096442,836.5728154146522,164.85998600500795,24.543224245084065
78,57,Rural,Silver,5,4.82,Morning,Premium,127,552.6397714448676,533.4054647937187,-19.234306651148927,-3.480441988614237
26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,321.37240510655704,456.52378757081476,135.15138246425772,42.0544453464963
62,21,Rural,Regular,61,4.57,Night,Economy,56,215.4338699200544,261.59376088542945,46.15989096537504,21.426478103236306
84,59,Suburban,Silver,67,4.27,Morning,Premium,164,758.9961232252967,739.4597944680219,-19.536328757274873,-2.573969505174377
49,8,Urban,Regular,1,4.06,Afternoon,Premium,157,694.4247148756359,1140.6477073526871,446.2229924770512,64.25793652188273
34,22,Suburban,Gold,34,3.64,Morning,Economy,176,617.3632185255483,709.6104300439816,92.24721151843335,14.942129487200068
49,30,Rural,Silver,86,3.62,Afternoon,Premium,69,328.63536897966003,334.21813201319736,5.582763033537333,1.69877120982765
83,50,Rural,Regular,7,3.66,Evening,Premium,100,376.3000600585162,360.276978021934,-16.023082036582196,-4.258059920078286
88,5,Urban,Silver,89,3.59,Night,Economy,27,70.20380336705749,133.27982594846029,63.076022581402796,89.8470161959924
90,71,Suburban,Gold,88,3.84,Morning,Economy,167,451.6848649701074,450.1321804938488,-1.5526844762586052,-0.34375393037828755
65,5,Rural,Silver,24,3.54,Night,Economy,119,301.40392677127403,558.7476592428819,257.3437324716079,85.38167874199529
73,28,Urban,Silver,22,4.57,Afternoon,Economy,53,153.39607111804412,165.78914111829502,12.393070000250901,8.079131303639429
85,62,Suburban,Silver,54,3.78,Morning,Economy,114,339.66230419418656,332.79509674843763,-6.867207445748932,-2.021774969124309
65,27,Rural,Gold,62,3.54,Night,Premium,162,733.4425366578176,799.4776567731191,66.03512011530142,9.00344837050399
74,42,Urban,Gold,88,3.5,Evening,Economy,77,203.8363809804033,189.7768343056726,-14.059546674730711,-6.897466785422562
41,7,Rural,Gold,68,4.3,Evening,Premium,66,284.5088586099128,477.61489035871887,193.10603174880606,67.87346892898395
